Condition Name,Title,Priority,CountofAlertPast7days
daily-healthcheck-RTFA,svc-fraud-assessment query result is <= 2.0 on 'daily-healthcheck-RTFA',warning,281
daily-healthcheck-RTCA,svc-credit-assessment query result is <= 4.0 on 'daily-healthcheck-RTCA',warning,276
Heap memory usage (High),Heap memory usage > 80% for at least 5 minutes on 'fpds-queue (fpds-queue-5b8964dd49-dp52f)',warning,80
Heap memory usage (High),Heap memory usage > 80% for at least 5 minutes on 'fpds-queue (fpds-queue-5b8964dd49-2j5c7)',warning,74
Heap memory usage (High),Heap memory usage > 80% for at least 5 minutes on 'fpds-queue (fpds-queue-5b8964dd49-54d2s)',warning,70
PROD_RTCA NOT 200,svc-credit-assessment query result is > 1.0 on 'PROD_RTCA NOT 200',warning,52
Heap memory usage (High),Heap memory usage > 80% for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-9tqw2)',warning,36
Heap memory usage (High),Heap memory usage > 80% for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-qfc59)',warning,31
Heap memory usage (High),Heap memory usage > 80% for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-ggvwd)',warning,23
PROD_CUSTOMERAPI != 200,svc-credit-assessment query result is = 1.0 on 'PROD_CUSTOMERAPI != 200',warning,22
RTCA Sporadic Failures,svc-credit-assessment query result is > 1.0 for 1 minutes on 'RTCA Sporadic Failures',critical,22
PROD_CUSTOMERAPI != 200,svc-customer-risk-status query result is = 1.0 on 'PROD_CUSTOMERAPI != 200',warning,19
PROD_SUBSCRIPTION !=200 && != 404,svc-assets-orders query result is = 1.0 on 'PROD_SUBSCRIPTION !=200 && != 404',warning,18
PROD_LOOKUP NOT 200,svc-credit-assessment query result is > 1.0 on 'PROD_LOOKUP NOT 200',warning,10
daily-healthcheck-RTCA,svc-credit-assessment query result is > 5.0 on 'daily-healthcheck-RTCA',critical,7
SQS - Number of Visible Messages increased,Provider . Approximate Age Of Oldest Message . Average > 50.0 for at least 10 minutes on 'rtfa-capem-dispute-payments-queue-dlq-prod',critical,6
SQS - Number of Visible Messages increased,Provider . Approximate Age Of Oldest Message . Average > 50.0 for at least 10 minutes on 'rtfa-fpds-notify-queue-dlq-prod',critical,6
SQS - Number of Visible Messages increased,Provider . Approximate Age Of Oldest Message . Average > 50.0 for at least 10 minutes on 'rtfa-kount-score-dlq-prod',critical,6
Instances Apdex (Low),Apdex < 0.4 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-qfc59)',warning,5
Service Levels default alert condition,svc-credit-assessment - Success query result is < 25.0 on 'Service Levels default alert condition',warning,5
daily-healthcheck-RTFA,ExternalApiEvent query result is <= 2.0 on 'daily-healthcheck-RTFA',warning,5
Heap memory usage (High),Heap memory usage > 80% for at least 5 minutes on 'fpds-queue (fpds-queue-5b8964dd49-nlbvh)',warning,4
Heap memory usage (High),Heap memory usage > 85% for at least 5 minutes on 'fpds-queue (fpds-queue-5b8964dd49-dp52f)',critical,4
Instances Apdex (Low),Apdex < 0.4 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-9tqw2)',warning,4
Instances Apdex (Low),Apdex < 0.4 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-ggvwd)',warning,4
Instances Error percentage (High),Error percentage > 5% for at least 5 minutes on 'svc-rtca-history (svc-rtca-history-5c96d469bb-9ltgc)',warning,4
PROD RTFA - RTCA != 200 & 404,svc-fraud-assessment query result is > 0.0 on 'PROD RTFA - RTCA != 200 & 404',warning,4
PROD_AGGREGATEDCOMMITMENT NOT 200,svc-assets-orders query result is > 1.0 on 'PROD_AGGREGATEDCOMMITMENT NOT 200',warning,4
PROD_LOOKUP NOT 200,svc-credit-assessment query result is > 2.0 on 'PROD_LOOKUP NOT 200',critical,4
Illion!=200,svc-credit-assessment query result is = 1.0 on 'Illion!=200',warning,3
Receipt List api != 200 && != 404,svc-customer-risk-status query result is = 1.0 on 'Receipt List api != 200 && != 404',warning,3
CustomerProducts giving Partial Response with status Code 206,ExternalApiEvent query result is > 1.0 on 'CustomerProducts giving Partial Response with status Code 206',warning,2
Heap memory usage (High),Heap memory usage > 80% for at least 5 minutes on 'fpds-queue (fpds-queue-5b8964dd49-8fhqs)',warning,2
Heap memory usage (High),Heap memory usage > 85% for at least 5 minutes on 'fpds-queue (fpds-queue-5b8964dd49-2j5c7)',critical,2
Heap memory usage (High),Heap memory usage > 85% for at least 5 minutes on 'fpds-queue (fpds-queue-5b8964dd49-54d2s)',critical,2
Instances Error percentage (High),Error percentage > 10% for at least 5 minutes on 'svc-rtca-history (svc-rtca-history-5c96d469bb-rt4dd)',critical,2
Instances Error percentage (High),Error percentage > 5% for at least 5 minutes on 'svc-rtca-history (svc-rtca-history-5c96d469bb-b4sf4)',warning,2
Instances Error percentage (High),Error percentage > 5% for at least 5 minutes on 'svc-rtca-history (svc-rtca-history-5c96d469bb-dp9r2)',warning,2
Instances Error percentage (High),Error percentage > 5% for at least 5 minutes on 'svc-rtca-history (svc-rtca-history-5c96d469bb-rt4dd)',warning,2
PROD RTFA Booking !=200 & !=404,svc-fraud-assessment query result is > 0.0 on 'PROD RTFA Booking !=200 & !=404',warning,2
PROD_DOWNSTREAM > 10000ms,svc-assets-orders query result is > 3.0 on 'PROD_DOWNSTREAM > 10000ms',warning,2
Service Levels default alert condition,svc-credit-assessment - Success query result is <= 0.0 on 'Service Levels default alert condition',critical,2
Transaction database time (Baseline),Datastore/all/average_response_time > 10.5 for at least 5 minutes on 'svc-rtca-history',warning,2
Web transaction database time (Baseline),Datastore/allWeb/average_response_time > 10.5 for at least 5 minutes on 'svc-rtca-history',warning,2
Web transaction time (Baseline),Web response time > 10.5 for at least 5 minutes on 'svc-fraud-assessment',warning,2
Web transaction time (Baseline),Web response time > 4.89779 for at least 5 minutes on 'svc-rtca-history',warning,2
daily-healthcheck-RTFA,svc-fraud-assessment query result is > 2.0 on 'daily-healthcheck-RTFA',critical,2
BusinessVerificationAPI!=200,svc-credit-assessment query result is = 1.0 on 'BusinessVerificationAPI!=200',warning,1
BusinessVerificationAPI!=200,svc-credit-assessment query result is > 1.0 on 'BusinessVerificationAPI!=200',critical,1
CustomerProducts != 200,svc-credit-assessment query result is = 1.0 on 'CustomerProducts != 200',warning,1
CustomerProducts giving Partial Response with status Code 206,ExternalApiEvent query result is > 2.0 on 'CustomerProducts giving Partial Response with status Code 206',critical,1
CustomerProducts giving Partial Response with status Code 206,svc-assets-orders query result is > 1.0 on 'CustomerProducts giving Partial Response with status Code 206',warning,1
CustomerProducts giving Partial Response with status Code 206,svc-assets-orders query result is > 2.0 on 'CustomerProducts giving Partial Response with status Code 206',critical,1
CustomerProducts giving Partial Response with status Code 206,svc-customer-risk-status query result is > 1.0 on 'CustomerProducts giving Partial Response with status Code 206',warning,1
CustomerProducts giving Partial Response with status Code 206,svc-customer-risk-status query result is > 2.0 on 'CustomerProducts giving Partial Response with status Code 206',critical,1
FICO !=200,svc-credit-assessment query result is > 1.0 on 'FICO !=200',warning,1
FICO !=200,svc-credit-assessment query result is >= 3.0 on 'FICO !=200',critical,1
Heap memory usage (High),Heap memory usage > 80% for at least 5 minutes on 'fpds-queue (fpds-queue-5b8964dd49-8gkw9)',warning,1
Illion!=200,svc-credit-assessment query result is > 1.0 on 'Illion!=200',critical,1
Instances Error percentage (High),Error percentage > 10% for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-ggvwd)',critical,1
Instances Error percentage (High),Error percentage > 10% for at least 5 minutes on 'svc-rtca-history (svc-rtca-history-5c96d469bb-9ltgc)',critical,1
Instances Error percentage (High),Error percentage > 10% for at least 5 minutes on 'svc-rtca-history (svc-rtca-history-5c96d469bb-b4sf4)',critical,1
Instances Error percentage (High),Error percentage > 10% for at least 5 minutes on 'svc-rtca-history (svc-rtca-history-5c96d469bb-dp9r2)',critical,1
Instances Error percentage (High),Error percentage > 5% for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-ggvwd)',warning,1
Instances Response time (web) (High),Web response time > 3.5 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-9tqw2)',warning,1
Instances Response time (web) (High),Web response time > 3.5 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-ggvwd)',warning,1
Instances Response time (web) (High),Web response time > 4.0 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-9tqw2)',critical,1
Instances Response time (web) (High),Web response time > 4.0 for at least 5 minutes on 'svc-fraud-assessment (svc-fraud-assessment-7f5559f9d6-ggvwd)',critical,1
PROD NoRecordsFoundInRuleEngineResponse,svc-fraud-assessment query result is >= 1.0 for 5 minutes on 'PROD NoRecordsFoundInRuleEngineResponse',critical,1
PROD RTFA - Quantium !=200,svc-fraud-assessment query result is > 0.0 on 'PROD RTFA - Quantium !=200',warning,1
PROD RTFA - RTCA != 200 & 404,svc-fraud-assessment query result is > 5.0 on 'PROD RTFA - RTCA != 200 & 404',critical,1
PROD RTFA Kount !=200 & !=404,svc-fraud-assessment query result is > 0.0 on 'PROD RTFA Kount !=200 & !=404',warning,1
PROD RTFA Kount !=200 & !=404,svc-fraud-assessment query result is > 5.0 on 'PROD RTFA Kount !=200 & !=404',critical,1
PROD_CUSTOMERAPI != 200,svc-assets-orders query result is = 1.0 on 'PROD_CUSTOMERAPI != 200',warning,1
PROD_DOWNSTREAM > 10000ms,ExternalApiEvent query result is > 3.0 on 'PROD_DOWNSTREAM > 10000ms',warning,1
PROD_DOWNSTREAM > 10000ms,svc-fraud-assessment query result is > 10.0 on 'PROD_DOWNSTREAM > 10000ms',critical,1
PROD_DOWNSTREAM > 10000ms,svc-fraud-assessment query result is > 3.0 on 'PROD_DOWNSTREAM > 10000ms',warning,1
PROD_PAYMENT_HISTORY NOT 200 and 404,svc-customer-risk-status query result is = 1.0 on 'PROD_PAYMENT_HISTORY NOT 200 and 404',warning,1
RTCA Transaction Count Baseline,ExternalApiEvent query deviated from the baseline for at least 20 minutes on 'RTCA Transaction Count Baseline',critical,1
SQS - Number of Visible Messages increased,Provider . Approximate Age Of Oldest Message . Average > 50.0 for at least 10 minutes on 'rtca-ca-history-queue-prod',critical,1
Transaction database time (Baseline),Datastore/all/average_response_time > 10.5 for at least 10 minutes on 'svc-rtca-history',critical,1
Vlocity flow !=200,svc-fraud-assessment query result is > 1.0 on 'Vlocity flow !=200',critical,1
Web transaction database time (Baseline),Datastore/allWeb/average_response_time > 10.5 for at least 10 minutes on 'svc-rtca-history',critical,1
Web transaction time (Baseline),Web response time > 22.38721 for at least 10 minutes on 'svc-rtca-history',critical,1
Web transaction time (Baseline),Web response time > 4.89779 for at least 5 minutes on 'svc-customer-risk-status',warning,1
fraud assessment != 200,svc-fraud-assessment query result is > 0.0 on 'fraud assessment != 200',warning,1
